GENRE,ARTIST_COUNT,TOTAL_DISCOVER_SIZE,TOTAL_COLLAB_COUNT,AVG_STREAMS
"reggaeton, latin, urbano latino",2,365,8522041610,694616962.6666666
"rap, southern hip hop",1,409,5081836495,53285426.0
"neo-psychedelic, indie",1,101,174098397,5921044.0
tropical house,3,552,2552014118,150449582.0
melodic rap,8,1066,26907965136,338519614.09090906
latin pop,2,1221,6504313551,200542245.0
dancehall,1,400,3853999824,122373033.0
r&b,5,1719,29719891877,106405524.33333333
rap,8,8427,444403423416,250660056.72727272
pop,4,7855,67636985593,331617103.28571427
edm,5,3245,8203671556,415440897.6875
"melodic rap, emo rap",1,580,18759705425,554813768.4
"nu metal, rap metal, rock, alternative metal",1,350,47851519,4879064.0
reggaeton,1,124,174098397,580565818.0
"emo rap, cloud rap",1,208,670555390,5323251.5
bedroom pop,2,54,757325153,96018301.0
"art pop, pop",1,1884,568435590,450731080.0
"reggaeton, trap latino, urbano latino, latin",1,652,21567963900,378384352.0
"soft pop, pop",1,327,694175067,35514927.666666664
"pop punk, emo",1,114,0,27508768.0
"rap, hip hop",1,602,8330063280,386973162.5
emo rap,1,1152,21317304832,521479441.875
"rap, melodic rap, trap",1,1098,28729620810,87931683.66666667
latin,2,435,888564794,84941345.66666667
"french r&b, pop urbaine",1,68,151618177,102429603.0
indie,1,50,0,126804188.0
dance pop,1,153,63258648,785924030.0
"edm, trance, big room",1,1306,1520019898,579865452.5
dansk pop,1,66,3924285642,46069786.0
"hip hop, west coast hip hop",1,605,43238815540,417757353.0
trap,2,1581,18929147008,194309462.83333334
"edm, progressive house, electronica",1,796,350860204,286369756.5
"southern hip hop, rap, trap",1,8468,19623460868,123671979.5
"dark r&b, r&b, trap soul",1,80,0,97145552.0
k-pop,1,103,526346942,94168111.0
"country, pop country",2,159,2432966282,173505622.0
rage rap,1,164,3359208568,98904142.5
emo,1,146,669606481,822525134.0
"reggaeton, latin",2,844,25557090439,188849819.66666666
soft pop,6,6130,54743252055,551640074.2647059
christian hip hop,1,81,135847234,39835950.0
"melodic rap, rap",1,79,302858918,326794641.0
"brooklyn drill, new york drill, drill",1,297,2790908763,496626182.6666667
