PEAK_RANK,AVG_WEEKS_ON_BOARD,AVG_TEMPO,AVG_DANCEABILITY,AVG_ENERGY,AVG_VALENCE,NUM_SONGS
1,35.3,100.9427,0.6584,0.516,0.4353,10
2,43.0,115.5592,0.7548,0.5768,0.5144,5
4,36.0,110.9635,0.6085,0.7135,0.5515,2
5,27.0,120.0104,0.6998,0.6528,0.4354,5
6,44.5,107.5055,0.747,0.579,0.6345,2
7,14.0,168.11866666666666,0.695,0.6356666666666667,0.369,3
8,19.333333333333332,131.92383333333333,0.7408333333333333,0.5473333333333333,0.4096666666666667,6
9,44.0,111.881,0.459,0.575,0.183,1
11,39.5,82.4625,0.4175,0.5835,0.426,2
12,28.0,147.997,0.662,0.714,0.464,1
13,19.75,105.5025,0.82025,0.59,0.45675,4
14,3.0,76.061,0.758,0.474,0.054,1
19,25.0,139.023,0.865,0.687,0.486,1
21,24.0,109.974,0.845,0.561,0.811,1
24,20.0,110.567,0.477,0.682,0.345,1
25,15.0,83.995,0.709,0.548,0.543,1
27,18.0,159.966,0.685,0.692,0.578,1
29,20.0,162.991,0.791,0.582,0.443,1
34,20.0,139.059,0.763,0.726,0.349,1
37,23.0,113.088,0.724,0.573,0.438,1
39,4.0,99.183,0.649,0.453,0.431,1
40,8.666666666666666,119.33233333333334,0.5876666666666667,0.582,0.2836666666666667,3
41,9.5,111.828,0.5195,0.5345,0.225,2
43,21.0,95.001,0.783,0.84,0.839,1
49,12.5,115.9855,0.7985,0.465,0.518,2
53,4.0,99.943,0.624,0.876,0.781,1
59,2.0,89.792,0.522,0.385,0.236,1
70,6.0,159.0525,0.571,0.436,0.2495,2
77,2.0,139.999,0.746,0.251,0.18,1
78,13.0,105.803,0.614,0.598,0.565,1
