AWARD,WINNER,AVG_SPOTIFY_STREAMS,TOTAL_NOMINATIONS
Record Of The Year,1,40849158,1
Best Pop Duo/Group Performance,0,421527037,1
Best Pop Vocal Album,0,593025420,1
Best Music Video,1,992321086,1
Best Rap Performance,0,188716156,1
Record Of The Year,0,1014832485,7
Best Pop Duo/Group Performance,1,1726357738,1
Album Of The Year,0,593025420,1
Best Melodic Rap Performance,0,1255822047,1
Best Pop Solo Performance,1,40849158,1
Best Country Solo Performance,0,231250740,1
Best Rap Performance,1,992321086,1
Best Pop Solo Performance,0,1141211400,3
